r(m)	z(m) current(amps) for shot 139396, with coils in the order that Stefan sent me (Jacob).
#OH1, OH2, OH3, OH4
0.1144 0.0021 -5.5e3
0.1261 0.0067 -5.5e3
0.1377 0.0022 -5.5e3
0.1493 -0.0021 -5.5e3
#PF1AU
0.1839 1.5906 4.2e3
#PF2U1, PF2U2
0.7992 1.8526 2.5e3
0.7992 1.9335 2.5e3
#PF3U1a, PF3U1b, PF3U2a, PF3U2b
1.4829 1.5696 -4e3
1.4945 1.5356 -4e3
1.4829 1.6505 -4e3
1.4945 1.6165 -4e3
#PF4U1a, PF4U1b, PF4U2
1.7950 0.8711 0
1.8065 0.9051 0
1.7946 0.8072 0
#PF4L1a, PF4L1b, PF4L2
1.7950 -0.8711 0
1.8065 -0.9051 0
1.7946 -0.8072 0
#PF5U1, PF5U2, PF5L1, PF5L2
2.0118 0.6489 -8.5e3
2.0118 0.5751 -8.5e3
2.0118 -0.6489 -8.5e3
2.0118 -0.5751 -8.5e3
#PF3L1a, PF3L1b, PF3L2a, PF3L2b
1.4829 -1.5696 -6e3
1.4945 -1.5356 -6e3
1.4829 -1.6505 -6e3
1.4945 -1.6165 -6e3
#PF2L1, PF2L2
0.7992 -1.8526 5e3
0.7992 -1.9335 5e3
#PF1AL
0.1839 -1.5906 4e3
#PF1B
0.3042 -1.8252 0
